Player,Pos,Age,Tm,TRB,AST,PTS
Precious Achiuwa,PF,24,NYK,3.0,0.0,0.0
Bam Adebayo,C,26,MIA,10.4,4.0,22.0
Ochai Agbaji,SG,23,UTA,2.5,1.0,6.6
Santi Aldama,PF,23,MEM,5.4,1.8,11.0
Nickeil Alexander-Walker,SG,25,MIN,1.8,2.4,6.6
Grayson Allen,SG,28,PHO,4.3,2.8,13.1
Jarrett Allen,C,25,CLE,9.3,2.8,14.4
Jose Alvarado,PG,25,NOP,2.4,1.8,6.7
Kyle Anderson,PF,30,MIN,3.6,4.0,6.7
Giannis Antetokounmpo,PF,29,MIL,11.3,5.7,30.9
Thanasis Antetokounmpo,PF,31,MIL,0.5,0.5,0.6
Cole Anthony,PG,23,ORL,4.4,3.5,14.3
OG Anunoby,SF,26,NYK,6.0,1.0,17.0
Ryan Arcidiacono,PG,29,NYK,0.5,0.3,0.0
Deni Avdija,SF,23,WAS,5.9,3.8,11.6
Deandre Ayton,C,25,POR,10.8,1.6,13.1
Udoka Azubuike,C,24,PHO,2.9,0.3,3.5
Ibou Badji,C,21,POR,4.0,0.5,3.3
Marvin Bagley III,C,24,DET,4.6,1.0,10.2
Amari Bailey,PG,19,CHO,1.0,0.0,2.5
Patrick Baldwin Jr.,SF,21,WAS,1.2,0.3,1.9
LaMelo Ball,PG,22,CHO,5.5,8.2,24.7
Mo Bamba,C,25,PHI,2.9,0.5,4.1
Paolo Banchero,PF,21,ORL,7.0,4.7,21.7
Desmond Bane,SG,25,MEM,4.6,5.2,24.6
Dalano Banton,PG,24,BOS,1.9,0.5,2.8
Dominick Barlow,PF,20,SAS,1.5,0.1,2.0
Harrison Barnes,PF,31,SAC,3.1,1.3,11.4
Scottie Barnes,SG,22,TOR,9.3,5.8,21.0
RJ Barrett,SG,23,TOR,9.0,1.0,19.0
Charles Bassey,C,23,SAS,4.0,1.1,3.3
Emoni Bates,SF,20,CLE,1.0,0.6,1.8
Keita Bates-Diop,SF,28,PHO,3.1,0.9,5.1
Nicolas Batum,PF,35,PHI,3.8,2.2,6.3
Bradley Beal,SG,30,PHO,3.1,3.2,15.6
Malik Beasley,SG,27,MIL,4.3,1.4,11.8
MarJon Beauchamp,SF,23,MIL,2.4,0.7,4.9
Jules Bernard,SG,24,WAS,0.5,0.5,1.0
Dāvis Bertāns,PF,31,OKC,0.9,0.7,3.7
Patrick Beverley,PG,35,PHI,2.8,2.3,5.0
Saddiq Bey,SF,24,ATL,6.6,1.3,12.9
Goga Bitadze,C,24,ORL,6.0,1.7,7.2
Onuralp Bitim,SG,24,CHI,0.0,0.0,0.0
Bismack Biyombo,C,31,MEM,6.3,1.7,5.5
Anthony Black,PG,20,ORL,2.8,1.8,5.5
Leaky Black,SF,24,CHO,1.0,0.6,1.6
Bogdan Bogdanović,SG,31,ATL,3.3,2.7,17.5
Bojan Bogdanović,PF,34,DET,3.6,2.7,19.2
Bol Bol,PF,24,PHO,1.4,0.1,1.9
Marques Bolden,C,25,MIL,1.0,0.0,0.0
Devin Booker,PG,27,PHO,5.3,7.9,26.4
Brandon Boston Jr.,SF,22,LAC,1.2,0.6,5.8
Chris Boucher,PF,31,TOR,3.6,0.3,6.1
James Bouknight,SG,23,CHO,1.2,0.6,4.4
Jamaree Bouyea,PG,24,POR,1.7,1.3,1.7
Malaki Branham,PG,20,SAS,2.2,2.5,9.2
Christian Braun,SG,22,DEN,3.7,1.8,8.3
Mikal Bridges,SF,27,BRK,5.3,3.8,21.1
Oshae Brissett,SF,25,BOS,2.7,0.5,3.1
Malcolm Brogdon,PG,31,POR,3.6,5.7,16.2
Armoni Brooks,PG,25,BRK,2.0,0.6,4.6
Dillon Brooks,SF,28,HOU,3.5,1.7,13.6
Bruce Brown,SG,27,IND,4.6,2.9,11.6
Charlie Brown Jr.,SG,26,NYK,0.0,0.0,1.0
Greg Brown III,PF,22,DAL,1.4,0.6,1.6
Jaylen Brown,SF,27,BOS,5.1,3.7,23.0
Kobe Brown,PF,24,LAC,1.6,0.6,2.5
Moses Brown,C,24,POR,5.1,0.2,2.0
Troy Brown Jr.,SF,24,MIN,2.3,0.9,4.8
Jalen Brunson,PG,27,NYK,4.0,6.2,25.6
Thomas Bryant,C,26,MIA,3.6,0.6,5.1
Kobe Bufkin,SG,20,ATL,1.0,0.0,0.5
Reggie Bullock,SF,32,HOU,1.2,0.5,2.2
Alec Burks,SG,32,DET,2.1,1.3,10.0
